"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"1","2026-03-11 23:15:48.097472+00","0.4","44.8",NULL,0,NULL,0,20,"{}"
"2","2026-03-11 23:15:48.633082+00","16.9","44.7",NULL,0,NULL,0,20,"{}"
"3","2026-03-11 23:15:49.165621+00","7.8","44.7",NULL,0,NULL,0,20,"{}"
"4","2026-03-11 23:15:49.697994+00","2.8","44.7",NULL,0,NULL,0,20,"{}"
"5","2026-03-11 23:15:50.218242+00","1.6","44.7",NULL,0,NULL,0,20,"{}"
"6","2026-03-11 23:15:50.741383+00","6.2","44.6",NULL,0,NULL,0,20,"{}"
"7","2026-03-11 23:15:51.273548+00","8.6","44.7",NULL,0,NULL,0,20,"{}"
"8","2026-03-11 23:15:51.804756+00","3.6","44.7",NULL,0,NULL,0,20,"{}"
"9","2026-03-11 23:15:52.33884+00","7","44.7",NULL,0,NULL,0,20,"{}"
"10","2026-03-11 23:15:52.874604+00","3.1","44.7",NULL,0,NULL,0,20,"{}"
"11","2026-03-11 23:15:53.405385+00","10.1","44.6",NULL,0,NULL,0,20,"{}"
"12","2026-03-11 23:15:53.941424+00","7.1","44.7",NULL,0,NULL,0,20,"{}"
"13","2026-03-11 23:15:54.473829+00","8.8","44.7",NULL,0,NULL,0,20,"{}"
"14","2026-03-11 23:15:55.006127+00","16.7","44.7",NULL,0,NULL,0,20,"{}"
"15","2026-03-11 23:15:55.541992+00","7.4","44.7",NULL,0,NULL,0,20,"{}"
"16","2026-03-11 23:15:56.067528+00","3.2","44.7",NULL,0,NULL,0,20,"{}"
"17","2026-03-11 23:15:56.594573+00","4.7","44.8",NULL,0,NULL,0,20,"{}"
"18","2026-03-11 23:15:57.121021+00","2.4","44.8",NULL,0,NULL,0,20,"{}"
"19","2026-03-11 23:15:57.649059+00","3.2","44.8",NULL,0,NULL,0,20,"{}"
"20","2026-03-11 23:15:58.175963+00","5.2","44.8",NULL,0,NULL,0,20,"{}"
"21","2026-03-11 23:15:58.703351+00","15","44.7",NULL,0,NULL,0,20,"{}"
"22","2026-03-11 23:15:59.218031+00","10.5","44.8",NULL,0,NULL,0,20,"{}"
"23","2026-03-11 23:15:59.733677+00","4.3","44.8",NULL,0,NULL,0,20,"{}"
"24","2026-03-11 23:16:00.248769+00","11.4","44.7",NULL,0,NULL,0,20,"{}"
"25","2026-03-11 23:16:00.763384+00","5.4","44.7",NULL,0,NULL,0,20,"{}"
"26","2026-03-11 23:16:01.289705+00","4.7","44.7",NULL,0,NULL,0,20,"{}"
"27","2026-03-11 23:16:01.815819+00","9.4","44.7",NULL,0,NULL,0,20,"{}"
"28","2026-03-11 23:16:02.341706+00","3.9","44.7",NULL,0,NULL,0,20,"{}"
"29","2026-03-11 23:16:02.867971+00","6","44.7",NULL,0,NULL,0,20,"{}"
"30","2026-03-11 23:16:03.396175+00","14.7","44.6",NULL,0,NULL,0,20,"{}"
"31","2026-03-11 23:16:03.924752+00","6.3","44.8",NULL,0,NULL,0,20,"{}"
"32","2026-03-11 23:16:04.451076+00","5.5","44.8",NULL,0,NULL,0,20,"{}"
"33","2026-03-11 23:16:04.978679+00","4.3","44.8",NULL,0,NULL,0,20,"{}"
"34","2026-03-11 23:16:05.50705+00","4.3","44.8",NULL,0,NULL,0,20,"{}"
"35","2026-03-11 23:16:06.032538+00","3.1","44.8",NULL,0,NULL,0,20,"{}"
"36","2026-03-11 23:16:06.558797+00","3.1","44.8",NULL,0,NULL,0,20,"{}"
"37","2026-03-11 23:16:07.073893+00","1.6","44.8",NULL,0,NULL,0,20,"{}"
"38","2026-03-11 23:16:07.600378+00","6","44.8",NULL,0,NULL,0,20,"{}"
"39","2026-03-11 23:16:08.127588+00","3.2","44.8",NULL,0,NULL,0,20,"{}"
"40","2026-03-11 23:16:08.645267+00","13.9","44.6",NULL,0,NULL,0,20,"{}"
"41","2026-03-11 23:16:09.192991+00","15.4","44.6",NULL,0,NULL,0,20,"{}"
"42","2026-03-11 23:16:09.766264+00","10.2","44.6",NULL,0,NULL,0,20,"{}"
"43","2026-03-11 23:16:10.292748+00","1.6","44.6",NULL,0,NULL,0,20,"{}"
"44","2026-03-11 23:16:10.807888+00","5.8","44.6",NULL,0,NULL,0,20,"{}"
"45","2026-03-11 23:16:11.333881+00","4","44.6",NULL,0,NULL,0,20,"{}"
"46","2026-03-11 23:16:11.849988+00","1.2","44.6",NULL,0,NULL,0,20,"{}"
"47","2026-03-11 23:16:12.376007+00","2.3","44.6",NULL,0,NULL,0,20,"{}"
"48","2026-03-11 23:16:12.903106+00","4","44.6",NULL,0,NULL,0,20,"{}"
"49","2026-03-11 23:16:13.430214+00","9.6","44.6",NULL,0,NULL,0,20,"{}"
"50","2026-03-11 23:16:13.947839+00","7.9","44.6",NULL,0,NULL,0,20,"{}"
"51","2026-03-11 23:16:14.474623+00","4.7","44.6",NULL,0,NULL,0,20,"{}"
"52","2026-03-11 23:16:15.001003+00","3.9","44.6",NULL,0,NULL,0,20,"{}"
"53","2026-03-11 23:16:15.527716+00","8.8","44.6",NULL,0,NULL,0,20,"{}"
"54","2026-03-11 23:16:16.054896+00","2.4","44.6",NULL,0,NULL,0,20,"{}"
"55","2026-03-11 23:16:16.581969+00","7.1","44.6",NULL,0,NULL,0,20,"{}"
"56","2026-03-11 23:16:17.107894+00","2.7","44.6",NULL,0,NULL,0,20,"{}"
"57","2026-03-11 23:16:17.633397+00","2.4","44.6",NULL,0,NULL,0,20,"{}"
"58","2026-03-11 23:16:18.159389+00","2.8","44.6",NULL,0,NULL,0,20,"{}"
"59","2026-03-11 23:16:18.684156+00","13.5","44.5",NULL,0,NULL,0,20,"{}"
"60","2026-03-11 23:16:19.211322+00","5.8","44.5",NULL,0,NULL,0,20,"{}"
"61","2026-03-11 23:16:19.737741+00","0.8","44.5",NULL,0,NULL,0,20,"{}"
"62","2026-03-11 23:16:20.264826+00","1.6","44.5",NULL,0,NULL,0,20,"{}"
"63","2026-03-11 23:16:20.791158+00","2.7","44.5",NULL,0,NULL,0,20,"{}"
