"id","hotel_id","url_id","language","policy_name","policy_details","created_at"
"1","382474c1-7c97-4133-a77e-cc7590888a55","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","es","Normas de la casa","ibis Wien Hauptbahnhof acepta peticiones especiales. ¡Añádelas en el siguiente paso! Ver disponibilidad Entrada Desde las 15:00 Los clientes deben mostrar un documento de identidad con fotografía y una tarjeta de crédito en el momento de hacer el check-in Salida Hasta las 12:00 Cancelación /  prepago Las condiciones de cancelación y de pago por adelantado pueden variar según el tipo de alojamiento. Introduce las fechas de tu estancia y consulta las condiciones de la opción que quieres reservar. Camas para niños Condiciones para estancias con niños Se pueden alojar niños de cualquier edad. Los niños a partir de 12 años pagan como adultos en este alojamiento. Para ver la información correcta sobre precios y ocupación, añade a la búsqueda el número de niños con los que viajas y sus edades. Condiciones sobre cunas y camas supletorias En este alojamiento no hay cunas ni camas supletorias. Restricción por edad Edad mínima para el check-in: 18 Mascotas Se admiten. Se pueden aplicar suplementos. Grupos Al reservar más de 7 habitaciones, podrán aplicarse condiciones especiales y suplementos. Métodos de pago aceptados Efectivo","2026-03-13 19:59:38.957393+00"
"2","ec1ff3c8-b594-48e3-af65-bee74ced267a","15b6b2e4-eade-4732-b624-9e160753f245","es","Normas de la casa","Leonardo Hotel Vienna City West acepta peticiones especiales. ¡Añádelas en el siguiente paso! Ver disponibilidad Entrada Desde las 15:00 Salida Hasta las 12:00 Cancelación /  prepago Las condiciones de cancelación y de pago por adelantado pueden variar según el tipo de alojamiento. Introduce las fechas de tu estancia y consulta las condiciones de la opción que quieres reservar. Camas para niños Condiciones para estancias con niños Se pueden alojar niños de cualquier edad. Los niños a partir de 18 años pagan como adultos en este alojamiento. Para ver la información correcta sobre precios y ocupación, añade a la búsqueda el número de niños con los que viajas y sus edades. Condiciones sobre cunas y camas supletorias En este alojamiento no hay cunas ni camas supletorias. Restricción por edad Edad mínima para el check-in: 18 Mascotas Se admiten. Se pueden aplicar suplementos. Grupos Al reservar más de 5 habitaciones, podrán aplicarse condiciones especiales y suplementos. Métodos de pago aceptados Bankcard Efectivo","2026-03-13 20:00:56.999944+00"
"3","047285b7-d61a-4b93-8d5c-4d53a5839333","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","en","House rules","ibis Wien Hauptbahnhof takes special requests - add in the next step! See availability Check-in From 15:00 Guests are required to show a photo identification and credit card upon check-in Check-out Until 12:00 Cancellation/ prepayment Cancellation and prepayment policies vary according to accommodation type. Please enter the dates of your stay and check the conditions of your required option. Children and beds Child policies Children of any age are welcome. Children 12 years and above will be charged as adults at this property. To see correct prices and occupancy information, please add the number of children in your group and their ages to your search. Cot and extra bed policies Cots and extra beds are not available at this property. Age restriction The minimum age for check-in is 18 Pets Pets are allowed. Charges may be applicable. Groups When booking more than 7 rooms, different policies and additional supplements may apply. Accepted payment methods Cash","2026-03-13 20:03:48.515059+00"
"4","94f8b4e8-58f4-4b4d-9134-166972c2e57a","15b6b2e4-eade-4732-b624-9e160753f245","en","House rules","Leonardo Hotel Vienna City West takes special requests - add in the next step! See availability Check-in From 15:00 Check-out Until 12:00 Cancellation/ prepayment Cancellation and prepayment policies vary according to accommodation type. Please enter the dates of your stay and check the conditions of your required option. Children and beds Child policies Children of any age are welcome. Children 18 years and above will be charged as adults at this property. To see correct prices and occupancy information, please add the number of children in your group and their ages to your search. Cot and extra bed policies Cots and extra beds are not available at this property. Age restriction The minimum age for check-in is 18 Pets Pets are allowed. Charges may be applicable. Groups When booking more than 5 rooms, different policies and additional supplements may apply. Accepted payment methods Bankcard Cash","2026-03-13 20:06:39.9435+00"
"5","b22bb3ee-8327-49d9-9d4b-8edfcfdf4064","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","de","Hausregeln","Die Unterkunft ibis Wien Hauptbahnhof nimmt besondere Anfragen an – im nächsten Schritt hinzufügen! Verfügbarkeit anzeigen Anreise Ab 15:00 Gäste müssen einen Lichtbildausweis und eine Kreditkarte beim Check-in vorlegen Abreise Bis 12:00 Stornierung/ Vorauszahlung Die Stornierungs- und Vorauszahlungsrichtlinien ändern sich je nach Unterkunftskategorie. Bitte geben Sie Ihre Reisedaten ein und überprüfen Sie die Bedingungen Ihrer gewählten Option. Kinder und Betten Richtlinien für Kinder Kinder jeden Alters sind willkommen. Kinder im Alter von 12 Jahren oder älter zahlen in dieser Unterkunft den Erwachsenenpreis. Fügen Sie Ihrer Suche bitte die Anzahl der Kinder in Ihrer Gruppe und deren Alter hinzu, um die korrekten Preise und Belegungsinformationen zu sehen. Richtlinien zu Baby- und Zustellbetten Baby- und Zustellbetten sind in dieser Unterkunft nicht verfügbar. Altersbeschränkung Das Mindestalter für den Check-in beträgt 18 Jahre Haustiere Haustiere sind gestattet. Möglicherweise fallen Gebühren an. Gruppen Bei einer Buchung von mehr als 7 Zimmern können abweichende Richtlinien und zusätzliche Aufpreise gelten. Akzeptierte Zahlungsmethoden Barzahlung","2026-03-13 20:07:59.777419+00"
"6","372c54d7-f26a-408b-a4ee-1af8bdc09964","15b6b2e4-eade-4732-b624-9e160753f245","de","Hausregeln","Die Unterkunft Leonardo Hotel Vienna City West nimmt besondere Anfragen an – im nächsten Schritt hinzufügen! Verfügbarkeit anzeigen Anreise Ab 15:00 Abreise Bis 12:00 Stornierung/ Vorauszahlung Die Stornierungs- und Vorauszahlungsrichtlinien ändern sich je nach Unterkunftskategorie. Bitte geben Sie Ihre Reisedaten ein und überprüfen Sie die Bedingungen Ihrer gewählten Option. Kinder und Betten Richtlinien für Kinder Kinder jeden Alters sind willkommen. Kinder im Alter von 18 Jahren oder älter zahlen in dieser Unterkunft den Erwachsenenpreis. Fügen Sie Ihrer Suche bitte die Anzahl der Kinder in Ihrer Gruppe und deren Alter hinzu, um die korrekten Preise und Belegungsinformationen zu sehen. Richtlinien zu Baby- und Zustellbetten Baby- und Zustellbetten sind in dieser Unterkunft nicht verfügbar. Altersbeschränkung Das Mindestalter für den Check-in beträgt 18 Jahre Haustiere Haustiere sind gestattet. Möglicherweise fallen Gebühren an. Gruppen Bei einer Buchung von mehr als 5 Zimmern können abweichende Richtlinien und zusätzliche Aufpreise gelten. Akzeptierte Zahlungsmethoden Bankcard Barzahlung","2026-03-13 20:09:47.566907+00"
"52","a84504c6-53cf-4761-a401-84c04ff4dd7a","b2adb08c-a3aa-4322-aa7b-de96f92be18c","nl","Huisregels","B&B Hotel Wien-Hbf accepteert speciale verzoeken, voeg ze toe bij de volgende stap! Bekijk beschikbaarheid Inchecken Vanaf 15:00 Uitchecken Tot 12:00 Annuleren / vooruitbetalen Annulerings- en vooruitbetalingsvoorwaarden verschillen per accommodatietype. Vul de data van je verblijf in en controleer de voorwaarden van je gekozen optie. Kinderen en bedden Voorwaarden voor kinderen Kinderen van alle leeftijden zijn welkom. Voeg het aantal kinderen in je groep en hun leeftijden toe aan je zoekopdracht om de juiste prijzen en informatie over de bezetting te zien. Voorwaarden voor kinderbedjes en extra bedden Kinderbedjes en extra bedden zijn niet beschikbaar bij deze accommodatie. Leeftijdsrestrictie De minimumleeftijd om in te checken is 18 jaar Huisdieren Huisdieren zijn op verzoek toegestaan. Er zijn mogelijk extra kosten aan verbonden. Groepen Als je meer dan 4 kamers boekt, kunnen er andere voorwaarden en extra toeslagen van toepassing zijn. Geaccepteerde betaalwijzen Contant","2026-03-13 21:25:17.983693+00"
"7","c8f1f578-62e7-4e77-abbf-1c69545d4ab8","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","fr","Règles de la maison","L'établissement ibis Wien Hauptbahnhof accepte les demandes spéciales. Ajoutez la vôtre à la prochaine étape ! Voir les disponibilités Arrivée À partir de 15:00 Vous devrez présenter une pièce d'identité avec photo et une carte de crédit lors de l'enregistrement. Départ Jusqu'à 12:00 Annulation / Prépaiement Les conditions d'annulation et de prépaiement varient en fonction du type d'hébergement. Veuillez saisir les dates de votre séjour et consulter les conditions de l'option choisie. Enfants et lits Conditions relatives aux enfants Tous les enfants sont les bienvenus. Les enfants âgés de plus de 12 ans seront facturés au tarif adulte dans cet établissement. Pour voir les tarifs et les informations associés à la taille de votre groupe, veuillez ajouter à votre recherche le nombre d'enfants avec qui vous voyagez ainsi que leur âge. Conditions relatives aux lits bébé et aux lits d'appoint Aucun lit d'appoint/bébé n'est disponible dans cet établissement. Restriction relative à l'âge Les clients doivent avoir au moins 18 ans pour pouvoir s'enregistrer. Animaux domestiques Les animaux de compagnie sont admis (un supplément peut s'appliquer). Groupes Toute réservation de plus de 7 chambres peut entraîner des conditions particulières et des frais supplémentaires. Moyens de paiement acceptés Espèces","2026-03-13 20:11:06.126935+00"
"9","e868b655-6fe3-4196-a0ca-48faa83e6fcb","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","it","Regole della struttura","ibis Wien Hauptbahnhof accetta le richieste speciali. Aggiungile nel prossimo passaggio! Vedi disponibilità Arrivo Dalle 15:00 Al check-in gli ospiti devono esibire un documento di riconoscimento con foto e una carta di credito. Partenza Alle 12:00 Cancellazione / Pagamento anticipato Le condizioni relative alla cancellazione e al pagamento anticipato variano a seconda della tipologia di alloggio. Inserisci le date del soggiorno e verifica le condizioni dell'opzione scelta. Bambini e letti Condizioni per i bambini I bambini di tutte le età sono i benvenuti. I bambini di 12 anni o più pagheranno quanto gli adulti presso questa struttura. Per vedere informazioni corrette relativamente a prezzi e occupazione, aggiungi alla ricerca il numero e l'età dei bambini che soggiorneranno. Condizioni per culle e letti aggiuntivi In questa struttura non c'è disponibilità di culle e letti supplementari. Età minima L'età minima per fare il check-in è 18 anni. Animali Animali ammessi. Potrebbe essere richiesto un supplemento. Gruppi Alle prenotazioni di oltre 7 camere, la struttura potrebbe applicare differenti condizioni e supplementi. Metodi di pagamento accettati Contanti","2026-03-13 20:13:57.516028+00"
"11","dea5831c-e66b-4b5e-8ec6-ff729fb551ea","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","nl","Huisregels","ibis Wien Hauptbahnhof accepteert speciale verzoeken, voeg ze toe bij de volgende stap! Bekijk beschikbaarheid Inchecken Vanaf 15:00 Gasten dienen bij het inchecken een identiteitsbewijs met foto en creditcard te tonen Uitchecken Tot 12:00 Annuleren / vooruitbetalen Annulerings- en vooruitbetalingsvoorwaarden verschillen per accommodatietype. Vul de data van je verblijf in en controleer de voorwaarden van je gekozen optie. Kinderen en bedden Voorwaarden voor kinderen Kinderen van alle leeftijden zijn welkom. Voor kinderen van 12 jaar en ouder worden bij deze accommodatie dezelfde kosten als volwassenen gerekend. Voeg het aantal kinderen in je groep en hun leeftijden toe aan je zoekopdracht om de juiste prijzen en informatie over de bezetting te zien. Voorwaarden voor kinderbedjes en extra bedden Kinderbedjes en extra bedden zijn niet beschikbaar bij deze accommodatie. Leeftijdsrestrictie De minimumleeftijd om in te checken is 18 jaar Huisdieren Huisdieren zijn toegestaan. Er zijn mogelijk extra kosten aan verbonden. Groepen Als je meer dan 7 kamers boekt, kunnen er andere voorwaarden en extra toeslagen van toepassing zijn. Geaccepteerde betaalwijzen Contant","2026-03-13 20:16:34.381098+00"
