"id","id_photo","hotel_id","orientation","photo_width","photo_height","alt","created_at_photo","created_at"
"4fc4986b-21d2-4216-b612-3538922e37fa","757365888","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a hotel room with a bed and a suitcase at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:24+01","2026-03-13 20:03:48.534634+00"
"23d6f9bd-b24c-4715-b221-ada13b8b52e4","777217391","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bathroom with a toilet and a sink and a shower at ibis Wien Hauptbahnhof in Vienna","2025-11-14 17:12:07+00","2026-03-13 20:03:48.537632+00"
"f2e723f2-c8dd-4087-8239-77857beefbcd","752483620","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a woman walking in front of a large building at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:22+01","2026-03-13 20:03:48.538858+00"
"feb9c3f0-0989-41df-bbfc-091c4a96be91","770359521","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a group of people standing at a counter at ibis Wien Hauptbahnhof in Vienna","2025-10-31 03:33:27+00","2026-03-13 20:03:48.539992+00"
"d510586f-2407-4629-98c4-fdcffd767963","752483549","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",2048,1536,"a hotel room with two beds and a large window at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:12+01","2026-03-13 20:03:48.541125+00"
"63492320-a22a-4bfb-8b9b-00fc67e4d8c2","768355479","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a tall building with flags in front of it at ibis Wien Hauptbahnhof in Vienna","2025-10-26 20:35:14+00","2026-03-13 20:03:48.542333+00"
"6fa56851-ed6f-4fa6-b84a-9d655750ed86","757365891","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a red couch in a room with tables and chairs at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:24+01","2026-03-13 20:03:48.543627+00"
"c12261b9-39ac-4d17-80fb-7620c1faeb1b","757365902","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a lobby with two reception desks and a suitcase at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:26+01","2026-03-13 20:03:48.544649+00"
"3d3dbe69-9028-425b-ad2a-64b849849268","777217390","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bed with two pillows and a pair of glasses on it at ibis Wien Hauptbahnhof in Vienna","2025-11-14 17:12:07+00","2026-03-13 20:03:48.545639+00"
"237daf3b-abb4-4963-9234-c1b2a18131f0","757365915","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bedroom with a large bed in a hotel room at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:27+01","2026-03-13 20:03:48.546631+00"
