"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"1","2026-03-13 19:54:47.541701+00","2.7","38",NULL,0,NULL,0,0,"{}"
"2","2026-03-13 19:54:48.094681+00","6.2","38",NULL,0,NULL,0,0,"{}"
"3","2026-03-13 19:54:48.621287+00","1.9","37.9",NULL,0,NULL,0,0,"{}"
"4","2026-03-13 19:54:49.148966+00","3.1","37.9",NULL,0,NULL,0,0,"{}"
"5","2026-03-13 19:54:49.679474+00","3.1","38",NULL,0,NULL,0,0,"{}"
"6","2026-03-13 19:54:50.210979+00","13.2","38",NULL,0,NULL,0,0,"{}"
"7","2026-03-13 19:54:50.736307+00","4.3","38",NULL,0,NULL,0,0,"{}"
"8","2026-03-13 19:54:51.266842+00","4","38",NULL,0,NULL,0,0,"{}"
"9","2026-03-13 19:54:51.79614+00","17.1","37.9",NULL,0,NULL,0,0,"{}"
"10","2026-03-13 19:54:52.321091+00","6.2","38",NULL,0,NULL,0,0,"{}"
"11","2026-03-13 19:54:52.849+00","2","38",NULL,0,NULL,0,0,"{}"
"12","2026-03-13 19:54:53.377014+00","1.2","38",NULL,0,NULL,0,0,"{}"
"13","2026-03-13 19:54:53.901649+00","3.5","38",NULL,0,NULL,0,0,"{}"
"14","2026-03-13 19:54:54.431932+00","3.9","38",NULL,0,NULL,0,0,"{}"
"15","2026-03-13 19:54:54.967382+00","6.2","38",NULL,0,NULL,0,0,"{}"
"16","2026-03-13 19:54:55.488995+00","3.9","38",NULL,0,NULL,0,0,"{}"
"17","2026-03-13 19:54:56.023992+00","8.5","38",NULL,0,NULL,0,0,"{}"
"18","2026-03-13 19:54:56.55879+00","8.7","37.8",NULL,0,NULL,0,0,"{}"
"19","2026-03-13 19:54:57.087432+00","8.5","38",NULL,0,NULL,0,0,"{}"
"20","2026-03-13 19:54:57.615929+00","7","37.9",NULL,0,NULL,0,0,"{}"
"21","2026-03-13 19:54:58.144959+00","5.1","37.9",NULL,0,NULL,0,0,"{}"
"22","2026-03-13 19:54:58.672367+00","2.4","37.9",NULL,0,NULL,0,0,"{}"
"23","2026-03-13 19:54:59.200153+00","3.5","37.9",NULL,0,NULL,0,0,"{}"
"24","2026-03-13 19:54:59.728474+00","5","37.9",NULL,0,NULL,0,0,"{}"
"25","2026-03-13 19:55:00.258001+00","4.3","37.9",NULL,0,NULL,0,0,"{}"
"26","2026-03-13 19:55:00.78757+00","4.3","37.9",NULL,0,NULL,0,0,"{}"
"27","2026-03-13 19:55:01.316244+00","5.5","37.9",NULL,0,NULL,0,0,"{}"
"28","2026-03-13 19:55:01.844348+00","18.6","37.9",NULL,0,NULL,0,0,"{}"
"29","2026-03-13 19:55:02.370295+00","2","37.9",NULL,0,NULL,0,0,"{}"
"30","2026-03-13 19:55:02.896117+00","5.4","37.9",NULL,0,NULL,0,0,"{}"
"31","2026-03-13 19:55:03.425441+00","9.2","37.9",NULL,0,NULL,0,0,"{}"
"32","2026-03-13 19:55:03.954135+00","2.4","37.9",NULL,0,NULL,0,0,"{}"
"33","2026-03-13 19:55:04.481166+00","4.3","37.9",NULL,0,NULL,0,0,"{}"
"34","2026-03-13 19:55:04.998136+00","1.6","37.9",NULL,0,NULL,0,0,"{}"
"35","2026-03-13 19:55:05.512856+00","5.4","37.9",NULL,0,NULL,0,0,"{}"
"36","2026-03-13 19:55:06.040492+00","6.9","37.9",NULL,0,NULL,0,0,"{}"
"37","2026-03-13 19:55:06.567998+00","5.1","37.7",NULL,0,NULL,0,0,"{}"
"38","2026-03-13 19:55:07.093744+00","4.8","37.9",NULL,0,NULL,0,0,"{}"
"39","2026-03-13 19:55:07.620122+00","2.7","37.9",NULL,0,NULL,0,0,"{}"
"40","2026-03-13 19:55:08.148434+00","5.1","37.9",NULL,0,NULL,0,0,"{}"
"41","2026-03-13 19:55:08.674163+00","3.5","37.9",NULL,0,NULL,0,0,"{}"
"42","2026-03-13 19:55:09.2006+00","0.8","37.9",NULL,0,NULL,0,0,"{}"
"43","2026-03-13 19:55:09.727428+00","6.2","37.9",NULL,0,NULL,0,0,"{}"
"44","2026-03-13 19:55:10.250971+00","4.7","37.9",NULL,0,NULL,0,0,"{}"
"45","2026-03-13 19:55:10.775369+00","4.3","37.9",NULL,0,NULL,0,0,"{}"
"46","2026-03-13 19:55:11.299228+00","5.1","37.9",NULL,0,NULL,0,0,"{}"
"47","2026-03-13 19:55:11.81063+00","11.6","37.9",NULL,0,NULL,0,0,"{}"
"48","2026-03-13 19:55:12.333567+00","5.1","37.9",NULL,0,NULL,0,0,"{}"
"49","2026-03-13 19:55:12.856001+00","8.8","37.9",NULL,0,NULL,0,0,"{}"
"50","2026-03-13 19:55:13.380528+00","18.5","37.9",NULL,0,NULL,0,0,"{}"
"51","2026-03-13 19:55:13.903548+00","17.8","38",NULL,0,NULL,0,0,"{}"
"52","2026-03-13 19:55:14.424633+00","8.1","38",NULL,0,NULL,0,0,"{}"
"53","2026-03-13 19:55:14.950624+00","4.3","38",NULL,0,NULL,0,0,"{}"
"54","2026-03-13 19:55:15.475727+00","2.4","38",NULL,0,NULL,0,0,"{}"
"55","2026-03-13 19:55:15.999619+00","4.4","37.9",NULL,0,NULL,0,0,"{}"
"56","2026-03-13 19:55:16.522267+00","5.8","38",NULL,0,NULL,0,0,"{}"
"57","2026-03-13 19:55:17.047053+00","10.3","38",NULL,0,NULL,0,0,"{}"
"58","2026-03-13 19:55:17.568768+00","3.6","38",NULL,0,NULL,0,0,"{}"
"59","2026-03-13 19:55:18.09389+00","3.9","38",NULL,0,NULL,0,0,"{}"
"60","2026-03-13 19:55:18.609302+00","2.8","38",NULL,0,NULL,0,0,"{}"
"61","2026-03-13 19:55:19.132165+00","7.3","38",NULL,0,NULL,0,0,"{}"
"62","2026-03-13 19:55:19.656431+00","8.4","38",NULL,0,NULL,0,0,"{}"
"63","2026-03-13 19:55:20.18166+00","6.2","38",NULL,0,NULL,0,0,"{}"
"64","2026-03-13 19:55:20.705504+00","6.2","38",NULL,0,NULL,0,0,"{}"
"65","2026-03-13 19:55:21.229516+00","3.5","38",NULL,0,NULL,0,0,"{}"
"66","2026-03-13 19:55:21.754962+00","12.5","37.9",NULL,0,NULL,0,0,"{}"
"67","2026-03-13 19:55:22.279667+00","4.4","37.9",NULL,0,NULL,0,0,"{}"
"68","2026-03-13 19:55:22.803083+00","2.4","37.9",NULL,0,NULL,0,0,"{}"
"69","2026-03-13 19:55:23.327945+00","3.6","37.9",NULL,0,NULL,0,0,"{}"
"70","2026-03-13 19:55:23.850758+00","3.5","37.9",NULL,0,NULL,0,0,"{}"
"71","2026-03-13 19:55:24.362137+00","8.1","37.9",NULL,0,NULL,0,0,"{}"
"72","2026-03-13 19:55:24.885214+00","7","37.9",NULL,0,NULL,0,0,"{}"
"73","2026-03-13 19:55:25.410512+00","17.4","37.9",NULL,0,NULL,0,0,"{}"
"74","2026-03-13 19:55:25.934472+00","3.9","37.9",NULL,0,NULL,0,0,"{}"
"75","2026-03-13 19:55:26.459832+00","6.7","38",NULL,0,NULL,0,0,"{}"
"76","2026-03-13 19:55:26.983941+00","13.5","38",NULL,0,NULL,0,0,"{}"
"77","2026-03-14 04:59:54.750165+00","14.9","38.2",NULL,0,NULL,0,35,"{}"
"78","2026-03-14 04:59:55.268544+00","12.7","38.2",NULL,0,NULL,0,35,"{}"
"79","2026-03-14 04:59:55.798534+00","13.4","38.2",NULL,0,NULL,0,35,"{}"
"80","2026-03-14 04:59:56.327973+00","12.5","38.2",NULL,0,NULL,0,35,"{}"
"81","2026-03-14 04:59:56.854982+00","21.9","38.2",NULL,0,NULL,0,35,"{}"
"82","2026-03-14 04:59:57.385724+00","14.1","38.2",NULL,0,NULL,0,35,"{}"
"83","2026-03-14 04:59:57.915744+00","15.2","38.1",NULL,0,NULL,0,35,"{}"
"84","2026-03-14 04:59:58.442075+00","12.7","38.1",NULL,0,NULL,0,35,"{}"
"85","2026-03-14 04:59:58.971442+00","15.7","38.1",NULL,0,NULL,0,35,"{}"
"86","2026-03-14 04:59:59.50065+00","14.5","38.1",NULL,0,NULL,0,35,"{}"
"87","2026-03-14 05:00:00.027584+00","14","38.2",NULL,0,NULL,0,35,"{}"
"88","2026-03-14 05:00:00.558195+00","13.7","38.2",NULL,0,NULL,0,35,"{}"
"89","2026-03-14 05:00:01.096499+00","15.4","38.2",NULL,0,NULL,0,35,"{}"
"90","2026-03-14 05:00:01.628813+00","18.1","38.1",NULL,0,NULL,0,35,"{}"
"97","2026-03-14 05:00:05.317023+00","12.9","38.2",NULL,0,NULL,0,35,"{}"
"98","2026-03-14 05:00:05.845417+00","19.5","38.2",NULL,0,NULL,0,35,"{}"
"99","2026-03-14 05:00:06.372931+00","13.3","38.2",NULL,0,NULL,0,35,"{}"
"105","2026-03-14 05:00:09.536889+00","17.8","38.2",NULL,0,NULL,0,35,"{}"
"108","2026-03-14 05:00:11.097292+00","15.2","38.2",NULL,0,NULL,0,35,"{}"
"111","2026-03-14 05:00:12.671923+00","15.5","38.3",NULL,0,NULL,0,35,"{}"
"114","2026-03-14 05:00:14.251271+00","27.1","38.3",NULL,0,NULL,0,35,"{}"
"117","2026-03-14 05:00:15.820973+00","12.5","38.3",NULL,0,NULL,0,35,"{}"
"120","2026-03-14 05:00:17.393005+00","12.7","38.3",NULL,0,NULL,0,35,"{}"
"123","2026-03-14 05:00:18.965306+00","12.8","38.3",NULL,0,NULL,0,35,"{}"
"126","2026-03-14 05:00:20.534081+00","15.5","38.3",NULL,0,NULL,0,35,"{}"
"129","2026-03-14 05:00:22.107459+00","22.1","38.2",NULL,0,NULL,0,35,"{}"
"132","2026-03-14 05:00:23.678192+00","13.3","38.2",NULL,0,NULL,0,35,"{}"
"135","2026-03-14 05:00:25.248756+00","15.1","38.2",NULL,0,NULL,0,35,"{}"
"138","2026-03-14 05:00:26.820948+00","25.5","38.3",NULL,0,NULL,0,35,"{}"
"141","2026-03-14 05:00:28.390155+00","13.1","38.3",NULL,0,NULL,0,35,"{}"
"144","2026-03-14 05:00:29.961171+00","12.9","38.3",NULL,0,NULL,0,35,"{}"
"147","2026-03-14 05:00:31.532386+00","15.8","38.2",NULL,0,NULL,0,35,"{}"
"150","2026-03-14 05:00:33.106616+00","14.6","38.3",NULL,0,NULL,0,35,"{}"
"153","2026-03-14 05:00:34.676792+00","12.7","38.3",NULL,0,NULL,0,35,"{}"
"156","2026-03-14 05:00:36.246892+00","12.6","38.3",NULL,0,NULL,0,35,"{}"
"159","2026-03-14 05:00:37.821013+00","15.3","38.3",NULL,0,NULL,0,35,"{}"
"162","2026-03-14 05:00:39.389573+00","15.3","38.3",NULL,0,NULL,0,35,"{}"
"165","2026-03-14 05:00:40.961534+00","13.2","38.3",NULL,0,NULL,0,35,"{}"
"168","2026-03-14 05:00:42.534468+00","12.5","38.2",NULL,0,NULL,0,35,"{}"
"171","2026-03-14 05:00:44.104741+00","13.1","38.2",NULL,0,NULL,0,35,"{}"
"174","2026-03-14 05:00:45.674295+00","15.5","38.2",NULL,0,NULL,0,35,"{}"
"177","2026-03-14 05:00:47.246366+00","19.9","38.3",NULL,0,NULL,0,35,"{}"
"180","2026-03-14 05:00:48.815361+00","14.8","38.3",NULL,0,NULL,0,35,"{}"
"183","2026-03-14 05:00:50.385771+00","13.5","38.3",NULL,0,NULL,0,35,"{}"
"91","2026-03-14 05:00:02.159788+00","18.5","38.3",NULL,0,NULL,0,35,"{}"
"92","2026-03-14 05:00:02.697156+00","13.1","38.3",NULL,0,NULL,0,35,"{}"
"93","2026-03-14 05:00:03.227102+00","16","38.2",NULL,0,NULL,0,35,"{}"
"100","2026-03-14 05:00:06.898852+00","23.3","38.2",NULL,0,NULL,0,35,"{}"
"101","2026-03-14 05:00:07.426967+00","19","38.1",NULL,0,NULL,0,35,"{}"
"102","2026-03-14 05:00:07.955404+00","12.7","38.2",NULL,0,NULL,0,35,"{}"
"106","2026-03-14 05:00:10.060818+00","12.6","38.2",NULL,0,NULL,0,35,"{}"
"109","2026-03-14 05:00:11.621524+00","18.9","38.1",NULL,0,NULL,0,35,"{}"
"112","2026-03-14 05:00:13.197914+00","28.7","38.3",NULL,0,NULL,0,35,"{}"
"115","2026-03-14 05:00:14.774519+00","13.7","38.3",NULL,0,NULL,0,35,"{}"
"118","2026-03-14 05:00:16.344683+00","14.3","38.3",NULL,0,NULL,0,35,"{}"
"121","2026-03-14 05:00:17.917411+00","14.5","38.3",NULL,0,NULL,0,35,"{}"
